symb_id,tmstp_exch,tmpstp_coinapi,transaction_id,price,size,taker_side_trade_type,exchge_side_trade_type,asset_id,exch_id,symb_type,asset_id_quote,exch_website,exch_name,asset_name,flag_is_crypto
BINANCEFTS_PERP_DOGE_USDT,2024-04-07T03:43:41.564Z,2024-04-07T03:43:41.861635Z,698aa68a-c007-43d9-be04-974232a5add6,0.19557,88370,Sell,Buy,DOGE,BINANCEFTS,PERPETUAL,USDT,https://www.binance.com/,Binance USD-M Futures (USDT/fapi),DogeCoin,1
BINANCEFTS_PERP_JUP_USDT,2024-04-07T03:43:41.718Z,2024-04-07T03:43:41.87253Z,12f59fa6-e021-4763-806d-caab03e2b70e,1.4325,2622,Sell,Buy,JUP,BINANCEFTS,PERPETUAL,USDT,https://www.binance.com/,Binance USD-M Futures (USDT/fapi),JUP,1
BINANCEFTS_PERP_JUP_USDT,2024-04-07T03:43:41.718Z,2024-04-07T03:43:41.869708Z,328b6adf-df94-404e-8d6e-3a9dadd68555,1.4326,1728,Sell,Buy,JUP,BINANCEFTS,PERPETUAL,USDT,https://www.binance.com/,Binance USD-M Futures (USDT/fapi),JUP,1
BINANCEFTS_PERP_JUP_USDT,2024-04-07T03:43:41.715Z,2024-04-07T03:43:41.868512Z,97bbd0d1-ad67-4d78-9029-26c054b8cb66,1.4327,1008,Sell,Buy,JUP,BINANCEFTS,PERPETUAL,USDT,https://www.binance.com/,Binance USD-M Futures (USDT/fapi),JUP,1
BINANCE_SPOT_JUP_USDT,2024-04-07T03:43:41.716Z,2024-04-07T03:43:41.863873Z,d9de389b-13cd-4bae-bf3c-86efb58c8ec8,1.4316,250,Sell,Buy,JUP,BINANCE,SPOT,USDT,https://www.binance.com/,Binance,JUP,1
BINGXFTS_PERP_DOGE_USDT,2024-04-07T03:43:41.233Z,2024-04-07T03:43:41.863907Z,b3abfad1-39b9-4dec-bace-413d95fc2a38,0.19535,1208,Buy,Sell,DOGE,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),DogeCoin,1
BINGXFTS_PERP_DOGE_USDT,2024-04-07T03:43:41.233Z,2024-04-07T03:43:41.863907Z,df732a82-4eeb-4bb4-b2d5-08a1b7f80c1a,0.19536,13730,Sell,Buy,DOGE,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),DogeCoin,1
BINGXFTS_PERP_DOGE_USDT,2024-04-07T03:43:41.233Z,2024-04-07T03:43:41.863907Z,b00bebb0-3d3f-447a-b286-2ca45857a42d,0.19536,1360,Sell,Buy,DOGE,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),DogeCoin,1
BINGXFTS_PERP_ONDO_USDT,2024-04-07T03:43:40.741Z,2024-04-07T03:43:41.857154Z,1e6ee795-a353-41c4-a139-e3dbbf1d0e59,0.8293,517.12,Sell,Buy,ONDO,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),ONDO,1
BINGXFTS_PERP_ONDO_USDT,2024-04-07T03:43:40.74Z,2024-04-07T03:43:41.857154Z,b4cfe8b8-2f53-41ea-b727-48681ce4cbbd,0.8291,861.22,Buy,Sell,ONDO,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),ONDO,1
BINGXFTS_PERP_ONDO_USDT,2024-04-07T03:43:40.74Z,2024-04-07T03:43:41.857154Z,63e56526-937f-48a3-b940-1ba4ed6a0c4b,0.8293,19.84,Sell,Buy,ONDO,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),ONDO,1
BITGETFTS_PERP_BNT_USDT,2024-04-07T03:43:41.772Z,2024-04-07T03:43:41.82734Z,7c335e8b-d082-4e84-8a58-aea677f6235b,0.8254,66,Buy,Sell,BNT,BITGETFTS,PERPETUAL,USDT,https://www.bitget.com/,Bitget Futures,Bancor,1
BYBITSPOT_SPOT_JUP_USDT,2024-04-07T03:43:41.753Z,2024-04-07T03:43:41.845477Z,580581e1-11c0-454b-a631-c12b782cdb8d,1.4316,13.6,Sell,Buy,JUP,BYBITSPOT,SPOT,USDT,https://www.bybit.com/,Bybit (Spot),JUP,1
COINBASE_SPOT_BTC_USD,2024-04-07T03:43:41.853946Z,2024-04-07T03:43:41.920934Z,5f27c0b1-3b02-42d5-8df1-1dec869f468d,69415.4,0.125,Sell,Buy,BTC,COINBASE,SPOT,USD,https://pro.coinbase.com/,Coinbase Pro (GDAX),Bitcoin,1
COINBASE_SPOT_BTC_USD,2024-04-07T03:43:41.853946Z,2024-04-07T03:43:41.92151Z,e426acfd-8874-4877-ab82-cf78bda32614,69413.91,0.02462294,Sell,Buy,BTC,COINBASE,SPOT,USD,https://pro.coinbase.com/,Coinbase Pro (GDAX),Bitcoin,1
HUOBIPRO_SPOT_YGG_USDT,2024-04-07T03:43:41.839Z,2024-04-07T03:43:41.845646Z,49fe0e93-78f4-4f8b-bb7c-d341b02e7091,1.2825,62.3784,Sell,Buy,YGG,HUOBIPRO,SPOT,USDT,https://www.hbg.com/,Huobi Global,YGG,1
KUCOIN_SPOT_OLT_USDT_68E142,2024-04-07T03:43:41.716Z,2024-04-07T03:43:41.851899Z,5c8ec2cd-3855-4079-a405-4f649cc1baa2,0.003167,6315.2,Buy,Sell,OLT,KUCOIN,SPOT,USDT,https://kucoin.com/,Kucoin,OneLedger,1
BINANCEFTS_PERP_1000FLOKI_USDT,2024-04-07T03:43:41.717Z,2024-04-07T03:43:41.868539Z,95f0e10c-be12-4d16-a811-964c33eebf57,0.20419,4756,Buy,Sell,1000FLOKI,BINANCEFTS,PERPETUAL,USDT,https://www.binance.com/,Binance USD-M Futures (USDT/fapi),1000FLOKI,1
BINANCEFTS_PERP_1000FLOKI_USDT,2024-04-07T03:43:41.636Z,2024-04-07T03:43:41.86439Z,0382ea59-2a96-410b-9f35-83ca0ac60caa,0.20415,24356,Buy,Sell,1000FLOKI,BINANCEFTS,PERPETUAL,USDT,https://www.binance.com/,Binance USD-M Futures (USDT/fapi),1000FLOKI,1
BINGXFTS_PERP_TAO_USDT,2024-04-07T03:43:40.752Z,2024-04-07T03:43:41.854602Z,6f2d5bd0-f384-4946-96d4-bca80830f763,558.91,0.03104,Sell,Buy,TAO,BINGXFTS,PERPETUAL,USDT,https://bingx.com/,BingX (perpetual futures),TAO,1
BITGET_SPOT_BTT_USDT,2024-04-07T03:43:41.805Z,2024-04-07T03:43:41.830353Z,235ed6a5-e6fd-434f-b259-3b48cd9c37a0,0.00000151,59484602,Sell,Buy,BTT,BITGET,SPOT,USDT,https://www.bitget.com/,Bitget Spot,BitTorrent,1
BITGET_SPOT_NEAR_USDT,2024-04-07T03:43:41.841Z,2024-04-07T03:43:41.847716Z,7e923c6c-295d-4eed-9829-a2f39d322502,7.0034,3,Sell,Buy,NEAR,BITGET,SPOT,USDT,https://www.bitget.com/,Bitget Spot,NEAR,1
BTSE_SPOT_VEGA_USDT,2024-04-07T03:43:41.484Z,2024-04-07T03:43:41.927874Z,fcc2f63e-5b94-4941-9e6e-cddc6c03f9e2,0.8908,0.6,Buy,Sell,VEGA,BTSE,SPOT,USDT,https://www.btse.com/,BTSE,VEGA,1
